src_id,source_name,role,cp_at_selection,ap_at_selection,region,language,notes,selection_status
SRC0364,SAMHiTA — South Asian Manuscript Histories and Textual Archive,INFRASTRUCTURE,CP2,Unknown,南亚,多语,南亚佛教手稿 provenance 基础设施,FROZEN
SRC0365,"Dewachen Lhakang, Namo Buddha Monastery",DISCOVERY,CP3,Unknown,尼泊尔,藏文/英语,亡者阿弥陀佛修法与愿生极乐实践节点,FROZEN
SRC0366,Buddhistdoor en Español,DISCOVERY,CP2,Unknown,西语世界 / 拉美,西语,拉美净土宗传播与访谈高效入口,FROZEN
SRC0367,"Furaibo Nembutsu Dojo, Buenos Aires",CORE,CP2,Unknown,阿根廷,西语,布宜诺斯艾利斯本土念佛节点,FROZEN
SRC0368,LA NACION — Gustavo Aoki direct interview/profile corpus,CORE,CP2,Unknown,阿根廷,西语,Gustavo Aoki 第一人称生命史与转折经历,FROZEN
SRC0369,"Lisette Morales Aldana — Conversión, identidad y compromiso en dos grupos budistas japoneses en la ciudad de México (2002)",DISCOVERY,CP2,Unknown,墨西哥,西语,净土真宗 conversion 研究；全文访问待确认,FROZEN
SRC0370,Catón E. Carini — “Southern Dharma: Outlines of Buddhism in Argentina”,DISCOVERY,CP3,Unknown,阿根廷,英语/西语研究语境,阿根廷佛教生态与地方资料发现入口,FROZEN
SRC0371,Tierra Pura de la Luz Serena / budismojapones.com,CORE,CP2,Unknown,波多黎各,西语,西语第一人称宗教经历与念佛信仰,FROZEN
SRC0372,Budismo Tierra Pura para Todos,DISCOVERY,CP2,Unknown,西语世界,西语,中文净土往生/感应材料翻译传播层,FROZEN
SRC0373,Budismo de La Tierra Pura Online / budismolatinoamerica.com,DISCOVERY,CP3,Unknown,拉美,西语,西语参与者 testimonial 与净土传播,FROZEN
SRC0374,Amidaji International Temple — Spiritual Biographies of Amidaji Members,CORE,CP1,Unknown,国际,英语/多语,结构化国际第一人称 spiritual biographies,FROZEN
SRC0375,Amida-shu / Community of Amida Buddhists archive,CORE/DISCOVERY,CP2,Unknown,英语世界 / 国际,英语,西方 Pure Land 修行者、团体形成史与个人转宗,FROZEN
SRC0376,South America Hongwanji Federation / official web corpus,DISCOVERY,CP3,Unknown,南美,葡语/西语/日语,本愿寺派南美官方网络与地方寺院入口,FROZEN
SRC0377,British Library EAP813 — Disappearing book heritage of Siberian Buddhists,INFRASTRUCTURE,CP2,Unknown,西伯利亚 / 布里亚特,蒙古文/藏文等,阿弥陀佛祈愿、愿生 Sukhāvatī 与极乐描述手稿群,FROZEN
SRC0378,Zsuzsa Majer (2018) — Preliminary Notes on Tibetan After-Death Rites and their Texts in Mongolian Buddhist Practice,CORE/DISCOVERY,CP2,Unknown,蒙古,英语（研究蒙古实践）,现代蒙古亡者仪轨；为亡者祈生阿弥陀佛 Sukhāvatī,FROZEN
SRC0379,Zsuzsa Majer (2018) — Lagwī molom…helping them to a better one in Sukhāvatī,CORE,CP3,Unknown,蒙古,英语（研究蒙古实践）,蒙古愿文与往生 Sukhāvatī 实践,FROZEN
SRC0380,"Karénina Kollmar-Paulenz (2025) — A Catalogue of the Mongolian Manuscripts and Xylographs of the Ernst-Collection, Sukhāvatī entries 120–124",INFRASTRUCTURE,CP2,Unknown,蒙古文献 / 欧洲收藏,英语/蒙古文,Ernst Collection 中 Sukhāvatī 文献与蒙古原创描述,FROZEN
SRC0381,Tümer Karaayak (2021) — Eski Uygurca Abitaki Metinlerinin Söz Varlığı,CORE/INFRASTRUCTURE,CP2,Unknown,中亚 / 古回鹘,土耳其语/古回鹘文,汇集多地古回鹘阿弥陀/净土写本,FROZEN
SRC0382,Jōdo-shū — Hōnen: A Collection of Buddhist Sermons by Jodo Shu Priests from around the World,CORE,CP2,Unknown,国际 / 澳洲案例,英语,澳洲净土宗临终关怀/净土开示个案,FROZEN
SRC0383,Amitabha Hospice Service / Peaceful Passing NZ source family,DISCOVERY,CP3,Unknown,新西兰,英语,佛教临终关怀；公开资料与非公开逐访报告潜力,FROZEN
SRC0384,Pure Land of Amitabha Buddha Hospice / Pure Land Home Hospice South Australia,DISCOVERY,CP3,Unknown,澳大利亚,英语,佛教价值基础居家临终关怀,FROZEN
SRC0385,Amitofo Care Centre Africa — periodical / annual-report corpus,DISCOVERY,CP3,Unknown,非洲多国,英语/中文等,非洲儿童与毕业生第一人称生活材料；阿弥陀经与佛教课诵传播,FROZEN
